images/C8206660,Seitenelemente aus Holz an die größere Platte ohne Löcher befestigen; Das Holzelement mit \SI{5}{\mm} Loch-Matrix schräg oben aufsetzen; Tipp: Die Loch-Matrix dient uns als Löthilfe und kann mit Klebestreifen temporär befestigt werden;
images/C8206665,Der LED Cube besteht aus 27 RGB LEDs mit drei 3x3 LED-Ebenen; Das lange Beinchen der LED ist der Pluspol; Drücke jeweils 9 LEDs in die Loch-Matrix{,} so wie im Diagramm abebildet; Das '+' und das '-' im Diagramm zeigen jeweils das positive und negative Beinchen der LED; Die Pfeile zeigen an{,} in welche Richtung die negativen Beinchen gebogen werden müssen (siehe nächster Schritt),\centering\includegraphics[width=.6\linewidth]{images/CubeDIP_scheme.pdf}
images/C8206668,Biege alle negativen Beinchen der LED in die Pfeilrichtung die im Diagramm gezeigt wird; Positive und negative Beinchen dürfen sich am Ende nicht berühren; Alle negativen Beinchen der LEDs sollten ein anderes negatives Beinchen einer anderen LED berühren; Löte alle negativen Beinchen aneinander
images/C8206670,Wiederhole Schritt 2 und 3 zweimal.;Du solltest jetz drei LED-Ebenen aus 9 LEDs haben.; Biege nun für zwei dieser Ebenen etwa \SI{2}{\mm} der Spitze der positiven Beinchen \SI{90}{\degree} in Richtung der negativen Beinchen der jeweiligen LED
images/C8206677,Belasse eine der LED-Ebene mit gebogenen Beinchen in der Loch-Matrix; Stecke die zweite Ebene oben auf die in der Lochmatrix{,} sodass sich die positiven Beinchen beider Ebenen berühren; Löte alle positiven Beinchen der beiden Ebenenen aneinander; Drücke vorsichtig die beiden Ebenenen aus der Loch-Matrix; Tipp: Es hilft erst einzelne passende Beinchen aneinander zu löten um die beidenen Ebenen in Position zu halten.
images/C8206679,Wiederhole die Schritte um eine dritte LED-Ebene zu löten{,} aber belasse die postivien Beinchen der ersten Ebene gerade (kein \SI{90}{\degree} Winkel); Drücke den fertigen Würfel heraus
images/C8206681,Klebe die beiden großen Holzelemente mit Löchern so zusammen{,} dass sich alle 10 (!) Löcher mittig übereinader befinden.; Das wird der Deckel der Box werden 
images/C8206682,Fädel die positiven Beinchen des Würfels durch die kleinen Löcher des anderen Holzelements
images/C8206683,Entferne die Isolierung des steifen Drahtes vollständig; Drücke es durch das letzte noch unbelegte kleine Loch und verbinde damit alle Ebenen der negativen Beinchen; Der Rest des steifen Drahtes kann abgeschnitten werden{,} es sollten lediglich etwa \SI{5}{\mm} unten überstehen
images/C8206685,Löte alle positiven Pins auf der anderen Seite der Platte zusammen (siehe Bild)
images/C8206689,Löte das rote Kabel des Batteriehalters an den mittleren Pin des Schalters; Löte ein weiteres Kabel an irgend einen anderen Pin des Schalters; Löte das andere Ende des freien Drahtes an den voltage-in (Vi) Pin des Step-Up
images/C8206693,Löte mit einem weiterem Stück Draht den voltage-out (Vo) Pin des Step-Up an ein positives Beinchen des LED-Cubes; Verbinde das schwarze Kabel des Batteriehalters sowohl mit dem ground (G) Pin des Step-Up als auch mit dem negativen Pin der LEDs; Ein weiteres Kabel kann zur Hilfe genommen werden
images/C8206694,Schraube den Schalter in das Loch des Seiten-Elementes; Lege den Batteriehalter in die Box; Lege Batterien ein
images/C8206696,Schließe die Box; Du bist fertig!; Um die Batterien zu wechseln kann der Deckel abgenommen werden
