Quantity,Name,Description,Label/Color Code
2,C1{,} C2,Ceramic Capacitor \SI{100}{\nano\farad},104
1,C3,Capacitor \SI{47}{\micro\farad},
3,D1{,} D2{,} D3,Diode BAW 76,
1,D10,Diode 1N4007,
1,IC1,CMOS-IC 4029,
1,IC2,CMOS-IC 4093,
7,LED1 -- LED7,LED \SI{5}{\mm},
2,R1{,} R3,Resistor \SI{2,2}{\kilo\ohm},Rot|Rot|Schwarz|Braun|Braun,R1|R3
1,R2,Resistor \SI{1}{\mega\ohm},Braun|Schwarz|Schwarz|Gelb|Braun,R2
1,R4,Resistor \SI{2,2}{\mega\ohm},Rot|Rot|Schwarz|Gelb|Braun,R4
1,R5,Resistor \SI{120}{\kilo\ohm},Braun|Rot|Schwarz|Orange|Braun,R5
2,R6{,} R8,Resistor \SI{1,5}{\kilo\ohm},Braun|Grün|Schwarz|Braun|Braun,R6|R8
1,R7,Resistor \SI{1,8}{\kilo\ohm},Braun|Grau|Schwarz|Braun|Braun,R7
1,R9,Resistor \SI{3,3}{\kilo\ohm},Orange|Orange|Schwarz|Braun|Braun,R9
1,T1,Transistor BC547B,
1,S1,Push Button,
1,X1,Klemme 2-polig,
1,PCB,,
1,IC-Socket 14-polig,,
1,IC-Socket 16-polig,,
1,Battery Clip für \SI{9}{\volt} Block,,
1,Battery \SI{9}{\volt} Block,,
