Quantity,Designation,Description
,,
3,RV1-RV3,Potentiometer \SI{100}{\kilo\ohm}
1,,Solar panel
3,C1-C3,Ceramic capacitor \SI{1}{\micro\farad} (105)
2,C6-C7,Ceramic capacitor \SI{100}{\nano\farad} (104)
1,74HC14,Schmitt trigger SN74HC14N
1,MCP6002, 2-fold operational amplifier MCP 6002
1,,Headphone connection
2,C4-C5,Electrolytic capacitor \SI{10}{\micro\farad}
1,R7,Resistor \SI{22}{\kilo\ohm}
2,R1{,}R6,Resistor \SI{10}{\kilo\ohm}
4,R2-R5,Resistor \SI{1}{\mega\ohm}
2,,Piezo buzzer \SI{20}{\mm}
2,,approx. \SI{5}{\cm} stranded wire
1,,Solarpunk synth circuit board (PCB)
